Titik Awal,Koordinat Awal,Tujuan,Koordinat Tujuan,Jarak Tempuh (km),Waktu Tempuh (menit),Kapasitas Full Tanki Bensin (liter),Jarak Tempuh Bensin per Liter (km/l),Rekomendasi_SPBU,Rekomendasi_TempatIstirahat,Rekomendasi_Penginapan
Malioboro,"(-7.79558, 110.36949)",Masjid Agung Serang,"(-6.117978, 106.153106)",501.3647650662308,546,14,31.40814943899822,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Gunung Galunggung,"(-7.241253, 108.082577)",507.8689547956208,634,14,35.777902410851496,ya,ya,ya
Sam Poo Kong,"(-6.992966, 110.389888)",Coban Rondo,"(-7.895497, 112.533402)",256.7611299180308,327,5,45.00251704192306,ya,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Simpang Lima,"(-6.9925, 110.420601)",409.7233243440768,423,8,42.04773980471251,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Alun-Alun Malang,"(-7.978639, 112.630141)",82.32892230004528,123,4,35.09640897085295,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Simpang Lima Gumul,"(-7.815934, 112.011961)",397.082436707808,476,4,45.97195024912166,ya,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Stasiun Cirebon,"(-6.710515, 108.561267)",77.45074768628962,82,7,49.94349097740164,tidak,tidak,tidak
Gedung Sate,"(-6.902475, 107.618782)",Kediri Mall,"(-7.82424, 112.011388)",495.1250368034492,521,10,38.96410577898445,ya,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Alun-Alun Malang,"(-7.978639, 112.630141)",249.825240247832,333,4,38.21250030875919,ya,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Monas,"(-6.175392, 106.827153)",200.50033911595344,240,5,43.424657901786816,ya,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Gunung Galunggung,"(-7.241253, 108.082577)",519.3186441531387,528,8,32.77968764221109,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Simpang Lima,"(-6.9925, 110.420601)",198.2974772198887,283,5,30.750190789119248,ya,ya,tidak
Monas,"(-6.175392, 106.827153)",Kediri Mall,"(-7.82424, 112.011388)",600.7991030288977,600,15,36.21523600521596,ya,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Kota Tua,"(-6.1352, 106.813301)",0.0,0,15,45.53472702427926,tidak,tidak,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Monas,"(-6.175392, 106.827153)",74.79267646078021,97,15,36.57954175204355,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Malioboro,"(-7.79558, 110.36949)",241.73771808100216,329,9,46.42470632555142,tidak,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Alun-Alun Serang,"(-6.11907, 106.150194)",480.19299384595297,702,15,34.371160894120244,ya,ya,ya
Coban Rondo,"(-7.895497, 112.533402)",Kenjeran Park,"(-7.22302, 112.790361)",79.96065683141616,106,8,31.193519230554703,tidak,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",264.6459771352921,273,15,38.36350177684471,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Gedung Sate,"(-6.902475, 107.618782)",105.33174996431468,117,4,39.74084892736704,tidak,ya,tidak
Ciputra Waterpark,"(-7.288911, 112.609064)",Situ Gede,"(-7.323856, 108.22867)",483.1363698118121,527,14,45.40230121868038,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Banten Lama,"(-6.034228, 106.128827)",736.4424157218534,1104,8,41.652096211750425,ya,ya,ya
Tugu Pahlawan,"(-7.245971, 112.737826)",Situ Gede,"(-7.323856, 108.22867)",497.4212327655371,596,6,31.35228972065278,ya,ya,tidak
Monas,"(-6.175392, 106.827153)",Alun-Alun Malang,"(-7.978639, 112.630141)",670.9756894470422,838,12,42.8829520038701,ya,ya,ya
Banten Lama,"(-6.034228, 106.128827)",Alun-Alun Serang,"(-6.11907, 106.150194)",9.725328130353487,13,10,42.601490766423225,tidak,tidak,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Simpang Lima Gumul,"(-7.815934, 112.011961)",200.91078580837356,207,7,32.80801991772261,ya,ya,tidak
Banten Lama,"(-6.034228, 106.128827)",Farm House,"(-6.832553, 107.605373)",185.73552303122645,206,7,38.56343362335469,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Simpang Lima Gumul,"(-7.815934, 112.011961)",420.58818106738113,630,5,40.97796817164823,ya,ya,ya
Alun-Alun Malang,"(-7.978639, 112.630141)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",69.56702334864907,80,6,44.054928103464064,tidak,tidak,tidak
Trans Studio,"(-6.926855, 107.634515)",Keraton Kasepuhan,"(-6.724108, 108.555726)",104.17656870257936,113,13,42.30296298674219,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Situ Gede,"(-7.323856, 108.22867)",478.7201817828583,512,12,47.2455617451632,ya,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Masjid Agung Serang,"(-6.117978, 106.153106)",0.3440916909629133,0,14,40.63859303599124,tidak,tidak,tidak
Taman Mini,"(-6.30242, 106.895382)",Keraton Kasepuhan,"(-6.724108, 108.555726)",189.3279835375404,214,11,31.265381364517417,tidak,ya,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Malioboro,"(-7.79558, 110.36949)",233.10696246398533,259,13,46.665813648340816,tidak,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Taman Sari,"(-7.811356, 110.359499)",316.1838727300024,379,14,32.390599033148256,tidak,ya,tidak
Simpang Lima Gumul,"(-7.815934, 112.011961)",Alun-Alun Serang,"(-6.11907, 106.150194)",673.909317378515,825,9,35.90431562966994,ya,ya,ya
Tugu Pahlawan,"(-7.245971, 112.737826)",Simpang Lima,"(-6.9925, 110.420601)",257.2254785603471,285,15,38.98816258874832,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Stasiun Cirebon,"(-6.710515, 108.561267)",1.6306357839287302,1,4,31.72958047310058,tidak,tidak,tidak
Kraton,"(-7.805691, 110.364914)",Kenjeran Park,"(-7.22302, 112.790361)",275.1175504902393,375,13,34.956718097018204,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Kraton,"(-7.805691, 110.364914)",250.23563824712352,319,4,45.97799589117564,ya,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Taman Sari,"(-7.811356, 110.359499)",500.9905063230789,578,11,32.615326758621705,ya,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Trans Studio,"(-6.926855, 107.634515)",107.1737953354006,160,12,38.00117860785689,tidak,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Gedung Sate,"(-6.902475, 107.618782)",104.09949292738544,148,14,33.86608351051125,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Alun-Alun Serang,"(-6.11907, 106.150194)",744.3494969166592,770,10,43.93161770898477,ya,ya,ya
Gedung Sate,"(-6.902475, 107.618782)",Situ Gede,"(-7.323856, 108.22867)",81.99975213147565,91,7,38.82632825019744,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Kraton,"(-7.805691, 110.364914)",239.18901962190165,270,5,43.99495136567769,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Pantai Kejawanan,"(-6.73358, 108.581212)",467.47482395927193,539,4,31.147314111727525,ya,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Pantai Kejawanan,"(-6.73358, 108.581212)",276.88989603688464,313,7,30.36632706885511,ya,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Pantai Kejawanan,"(-6.73358, 108.581212)",107.90730323724942,154,8,40.01166590370316,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Farm House,"(-6.832553, 107.605373)",568.259327887633,568,9,46.31555709836058,ya,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Malioboro,"(-7.79558, 110.36949)",89.27494444972147,99,9,40.56413131227614,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",601.8039263801215,656,6,46.55034369385416,ya,ya,ya
Trans Studio,"(-6.926855, 107.634515)",Alun-Alun Malang,"(-7.978639, 112.630141)",563.0644817612193,614,13,34.874187132959975,ya,ya,ya
Ciputra Waterpark,"(-7.288911, 112.609064)",Alun-Alun Serang,"(-6.11907, 106.150194)",725.0294471184982,988,9,38.58805142263234,ya,ya,ya
Masjid Agung Serang,"(-6.117978, 106.153106)",Alun-Alun Serang,"(-6.11907, 106.150194)",0.3440916909629133,0,13,45.17907203288897,tidak,tidak,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Coban Rondo,"(-7.895497, 112.533402)",14.10580378847123,15,6,32.214731449916634,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Jatim Park,"(-7.887634, 112.53475)",0.0,0,7,49.32841318006132,tidak,tidak,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Gunung Galunggung,"(-7.241253, 108.082577)",256.07660333088614,260,11,31.475543214320748,tidak,ya,tidak
Kraton,"(-7.805691, 110.364914)",Farm House,"(-6.832553, 107.605373)",323.00665356487895,403,10,42.65001191076066,ya,ya,tidak
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Alun-Alun Malang,"(-7.978639, 112.630141)",491.6867676632197,670,7,41.03144678108585,ya,ya,ya
Jatim Park,"(-7.887634, 112.53475)",Masjid Agung Serang,"(-6.117978, 106.153106)",731.2515970878496,797,15,39.2459353716599,ya,ya,ya
Sam Poo Kong,"(-6.992966, 110.389888)",Kota Tua,"(-6.1352, 106.813301)",406.4364787504779,508,9,36.35995771179955,ya,ya,tidak
Farm House,"(-6.832553, 107.605373)",Kota Tua,"(-6.1352, 106.813301)",116.92245828016324,143,11,49.44179526872325,tidak,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Simpang Lima,"(-6.9925, 110.420601)",481.6303387289715,516,11,34.76186147746156,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Kraton,"(-7.805691, 110.364914)",239.18901962190165,256,13,49.22586054208455,tidak,ya,tidak
Kraton,"(-7.805691, 110.364914)",Banten Lama,"(-6.034228, 106.128827)",507.37604632617183,608,11,37.1331774784685,ya,ya,ya
Pantai Kejawanan,"(-6.73358, 108.581212)",Gedung Sate,"(-6.902475, 107.618782)",107.90730323724942,137,4,45.30143080499697,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Stasiun Cirebon,"(-6.710515, 108.561267)",77.45074768628962,86,14,43.04524092352576,tidak,tidak,tidak
Farm House,"(-6.832553, 107.605373)",Malioboro,"(-7.79558, 110.36949)",323.11119438649496,395,13,42.03856175761079,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Gunung Galunggung,"(-7.241253, 108.082577)",77.6773366804994,89,6,32.571990866952426,tidak,tidak,tidak
Ciputra Waterpark,"(-7.288911, 112.609064)",Farm House,"(-6.832553, 107.605373)",554.4883449456075,811,7,43.928776034165104,ya,ya,ya
Coban Rondo,"(-7.895497, 112.533402)",Lawang Sewu,"(-6.983784, 110.40908)",255.22080071498667,268,5,49.122036932551296,ya,ya,tidak
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Kenjeran Park,"(-7.22302, 112.790361)",111.1156726223935,111,13,47.62586301488672,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Farm House,"(-6.832553, 107.605373)",112.8346095170774,127,8,41.78976762705552,tidak,ya,tidak
Ciputra Waterpark,"(-7.288911, 112.609064)",Pantai Kejawanan,"(-6.73358, 108.581212)",448.7928265843921,508,8,34.954337532428475,ya,ya,tidak
Ciputra Waterpark,"(-7.288911, 112.609064)",Situ Gede,"(-7.323856, 108.22867)",483.1363698118121,517,7,44.59927532258543,ya,ya,tidak
Simpang Lima Gumul,"(-7.815934, 112.011961)",Masjid Agung Serang,"(-6.117978, 106.153106)",673.6355029732069,898,9,43.4094290979176,ya,ya,ya
Kota Tua,"(-6.1352, 106.813301)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",604.6793250423331,907,4,35.57252482960193,ya,ya,ya
Alun-Alun Malang,"(-7.978639, 112.630141)",Coban Rondo,"(-7.895497, 112.533402)",14.10580378847123,19,13,34.6424703850884,tidak,tidak,tidak
Gedung Sate,"(-6.902475, 107.618782)",Stasiun Cirebon,"(-6.710515, 108.561267)",106.22745206843608,111,12,47.46033247901402,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Lawang Sewu,"(-6.983784, 110.40908)",309.950662818426,379,11,34.73592668749524,ya,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",111.1156726223935,111,9,49.869264570315984,tidak,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Alun-Alun Serang,"(-6.11907, 106.150194)",478.3180937654799,683,10,47.86042603859575,ya,ya,ya
Alun-Alun Malang,"(-7.978639, 112.630141)",Simpang Lima Gumul,"(-7.815934, 112.011961)",70.44923835910608,93,12,44.86753597743602,tidak,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Taman Sari,"(-7.811356, 110.359499)",501.2422741348952,653,15,39.90016832687088,ya,ya,ya
Taman Mini,"(-6.30242, 106.895382)",Lawang Sewu,"(-6.983784, 110.40908)",395.405531607575,409,14,33.40028298133446,ya,ya,tidak
Monas,"(-6.175392, 106.827153)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",601.8039263801215,859,8,40.68575520079037,ya,ya,ya
Coban Rondo,"(-7.895497, 112.533402)",Farm House,"(-6.832553, 107.605373)",556.1457275434485,776,7,47.90650155705329,ya,ya,ya
Keraton Kasepuhan,"(-6.724108, 108.555726)",Trans Studio,"(-6.926855, 107.634515)",104.17656870257936,142,14,39.379026876395926,tidak,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Keraton Kasepuhan,"(-6.724108, 108.555726)",189.3279835375404,241,9,48.47628020425337,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Taman Mini,"(-6.30242, 106.895382)",98.11213877246232,109,15,34.01047031172295,tidak,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Malioboro,"(-7.79558, 110.36949)",89.47609930103417,90,7,44.88213519112576,tidak,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Simpang Lima Gumul,"(-7.815934, 112.011961)",603.4315799580843,646,5,31.67371308422564,ya,ya,ya
Keraton Kasepuhan,"(-6.724108, 108.555726)",Alun-Alun Malang,"(-7.978639, 112.630141)",470.4756451421847,564,14,39.9115359654376,ya,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Sam Poo Kong,"(-6.992966, 110.389888)",304.21419808134414,344,11,49.1265938648678,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Kediri Mall,"(-7.82424, 112.011388)",397.2997351804252,507,9,34.862976134020435,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",3.5732372810599817,4,10,38.49534393948428,tidak,tidak,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Kota Tua,"(-6.1352, 106.813301)",73.33485983674267,75,7,35.43139114107764,tidak,tidak,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Pantai Kejawanan,"(-6.73358, 108.581212)",467.7428360862109,539,5,34.154300622230394,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Banten Lama,"(-6.034228, 106.128827)",679.1240561834833,926,13,38.61426182123775,ya,ya,ya
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Coban Rondo,"(-7.895497, 112.533402)",479.8868651217547,496,13,49.28124807252309,tidak,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Taman Sari,"(-7.811356, 110.359499)",92.18407446945264,117,12,40.46457453692057,tidak,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",180.9172838052192,230,11,44.58133161769803,tidak,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Simpang Lima Gumul,"(-7.815934, 112.011961)",673.909317378515,748,8,32.46522332995431,ya,ya,ya
Banten Lama,"(-6.034228, 106.128827)",Alun-Alun Serang,"(-6.11907, 106.150194)",9.725328130353487,11,9,43.95282805200522,tidak,tidak,tidak
Situ Gede,"(-7.323856, 108.22867)",Monas,"(-6.175392, 106.827153)",200.64499390224896,293,11,33.23126917281253,tidak,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Trans Studio,"(-6.926855, 107.634515)",107.1737953354006,156,6,48.037393741766,tidak,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Taman Mini,"(-6.30242, 106.895382)",396.8373026970237,449,5,42.5882600727623,ya,ya,tidak
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Jatim Park,"(-7.887634, 112.53475)",479.92425124848177,685,15,34.909715491924025,ya,ya,ya
Kota Tua,"(-6.1352, 106.813301)",Pantai Kejawanan,"(-6.73358, 108.581212)",206.364229955079,252,13,46.382559589134736,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Taman Mini,"(-6.30242, 106.895382)",185.9291254090016,210,13,40.83347590809622,tidak,ya,tidak
Simpang Lima Gumul,"(-7.815934, 112.011961)",Taman Mini,"(-6.30242, 106.895382)",589.1535942878771,822,13,31.69639274128879,ya,ya,ya
Kraton,"(-7.805691, 110.364914)",Pantai Kejawanan,"(-6.73358, 108.581212)",230.04107318705456,270,10,40.93541369202632,tidak,ya,tidak
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Kediri Mall,"(-7.82424, 112.011388)",421.8464068384333,550,5,40.08510034163436,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Kraton,"(-7.805691, 110.364914)",250.23563824712352,326,8,30.43784459347403,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Kediri Mall,"(-7.82424, 112.011388)",102.6990886930164,154,7,44.69645610256308,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Keraton Kasepuhan,"(-6.724108, 108.555726)",465.206990355572,581,5,42.97112363009089,ya,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Taman Sari,"(-7.811356, 110.359499)",316.1838727300024,395,6,31.798311403395022,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Taman Mini,"(-6.30242, 106.895382)",653.5793897203737,871,11,32.66900084104914,ya,ya,ya
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Simpang Lima Gumul,"(-7.815934, 112.011961)",4.498196561818763,4,10,48.02746555291562,tidak,tidak,tidak
Taman Mini,"(-6.30242, 106.895382)",Farm House,"(-6.832553, 107.605373)",98.11213877246232,125,5,49.342953866315135,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Sam Poo Kong,"(-6.992966, 110.389888)",307.88972336106053,384,12,37.2230774755304,tidak,ya,tidak
Coban Rondo,"(-7.895497, 112.533402)",Farm House,"(-6.832553, 107.605373)",556.1457275434485,834,5,39.25743590201756,ya,ya,ya
Malioboro,"(-7.79558, 110.36949)",Alun-Alun Serang,"(-6.11907, 106.150194)",501.6174847107518,640,8,39.54896576585581,ya,ya,ya
Kraton,"(-7.805691, 110.364914)",Taman Mini,"(-6.30242, 106.895382)",417.7610883001236,557,8,42.45997259550698,ya,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Pantai Kejawanan,"(-6.73358, 108.581212)",467.7428360862109,572,11,37.20581566407333,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Sam Poo Kong,"(-6.992966, 110.389888)",256.5596423926739,349,5,46.68262526856229,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Monas,"(-6.175392, 106.827153)",658.0012124274839,987,10,35.372358072866525,ya,ya,ya
Coban Rondo,"(-7.895497, 112.533402)",Trans Studio,"(-6.926855, 107.634515)",550.8048305568906,768,14,45.31436649060634,ya,ya,ya
Pantai Kejawanan,"(-6.73358, 108.581212)",Alun-Alun Malang,"(-7.978639, 112.630141)",467.47482395927193,549,14,44.37403517567338,ya,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Alun-Alun Malang,"(-7.978639, 112.630141)",467.47482395927193,623,7,42.81159191604719,ya,ya,ya
Gedung Sate,"(-6.902475, 107.618782)",Alun-Alun Serang,"(-6.11907, 106.150194)",184.1512927846321,256,4,41.266423756844624,ya,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Stasiun Cirebon,"(-6.710515, 108.561267)",189.5560626929701,227,7,39.60877273363965,tidak,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Malioboro,"(-7.79558, 110.36949)",433.7512746887793,433,12,48.029248491983225,ya,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Taman Sari,"(-7.811356, 110.359499)",417.464087169585,582,7,30.175291980310494,ya,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Kraton,"(-7.805691, 110.364914)",417.7610883001236,501,7,39.21034819013274,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Gedung Sate,"(-6.902475, 107.618782)",553.0320797363705,754,10,44.212922620306216,ya,ya,ya
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Kenjeran Park,"(-7.22302, 112.790361)",111.1156726223935,121,15,47.82539510190925,tidak,ya,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",78.40536243095079,85,7,30.70198746454543,tidak,tidak,tidak
Gunung Galunggung,"(-7.241253, 108.082577)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",17.667054182746156,24,15,39.21203161083243,tidak,tidak,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Jatim Park,"(-7.887634, 112.53475)",454.5216733402476,462,9,47.66811616076619,ya,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Trans Studio,"(-6.926855, 107.634515)",186.9680251557959,267,15,43.121418100742055,tidak,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Kediri Mall,"(-7.82424, 112.011388)",180.90522168070044,252,12,30.755279455648687,tidak,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Banten Lama,"(-6.034228, 106.128827)",679.1240561834833,947,4,47.1906398531098,ya,ya,ya
Malioboro,"(-7.79558, 110.36949)",Keraton Kasepuhan,"(-6.724108, 108.555726)",232.85062576759572,297,4,31.495653970213603,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Kenjeran Park,"(-7.22302, 112.790361)",6.332164273954874,9,14,33.37914301587843,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Ciputra Waterpark,"(-7.288911, 112.609064)",67.07694629998154,87,8,49.085753853679016,tidak,tidak,tidak
Taman Sari,"(-7.811356, 110.359499)",Kediri Mall,"(-7.82424, 112.011388)",181.9799938726928,272,13,49.2083037907656,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Banten Lama,"(-6.034228, 106.128827)",278.9415115875594,298,8,43.27339560524484,ya,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Simpang Lima Gumul,"(-7.815934, 112.011961)",199.50223657167143,266,15,47.94937673352203,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Pantai Kejawanan,"(-6.73358, 108.581212)",467.47482395927193,539,12,34.40255754177783,ya,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Kota Tua,"(-6.1352, 106.813301)",406.4364787504779,435,15,48.97582028293331,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Banten Lama,"(-6.034228, 106.128827)",749.3421801111169,999,5,40.793213466373366,ya,ya,ya
Pantai Kejawanan,"(-6.73358, 108.581212)",Pantai Kejawanan,"(-6.73358, 108.581212)",0.0,0,5,40.492323471701326,tidak,tidak,tidak
Taman Mini,"(-6.30242, 106.895382)",Tugu Pahlawan,"(-7.245971, 112.737826)",653.5793897203737,726,7,35.585841635904224,ya,ya,ya
Alun-Alun Serang,"(-6.11907, 106.150194)",Stasiun Cirebon,"(-6.710515, 108.561267)",274.4161936317392,411,4,32.705319963581985,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Kediri Mall,"(-7.82424, 112.011388)",70.27826175030854,75,12,46.24695614306813,tidak,tidak,tidak
Ciputra Waterpark,"(-7.288911, 112.609064)",Masjid Agung Serang,"(-6.117978, 106.153106)",724.7356619334391,724,15,35.72945425692531,ya,ya,ya
Tugu Pahlawan,"(-7.245971, 112.737826)",Simpang Lima,"(-6.9925, 110.420601)",257.2254785603471,266,11,45.73317388538488,tidak,ya,tidak
Kraton,"(-7.805691, 110.364914)",Kraton,"(-7.805691, 110.364914)",0.0,0,13,46.21788975027597,tidak,tidak,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Gunung Galunggung,"(-7.241253, 108.082577)",246.99566184375345,251,7,38.71403620436979,ya,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Simpang Lima,"(-6.9925, 110.420601)",481.3402852488255,614,4,36.12195003641282,ya,ya,ya
Kota Tua,"(-6.1352, 106.813301)",Pantai Kejawanan,"(-6.73358, 108.581212)",206.364229955079,238,14,43.686321291532536,tidak,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Tugu Pahlawan,"(-7.245971, 112.737826)",653.5793897203737,891,7,36.53019406468332,ya,ya,ya
Jatim Park,"(-7.887634, 112.53475)",Sam Poo Kong,"(-6.992966, 110.389888)",256.5596423926739,320,13,37.27848180611364,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Malioboro,"(-7.79558, 110.36949)",323.11119438649496,359,14,32.09486888685584,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Banten Lama,"(-6.034228, 106.128827)",272.6574926959994,371,5,49.52756037423591,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Kediri Mall,"(-7.82424, 112.011388)",58.07839123971012,69,4,32.523589367693305,tidak,tidak,tidak
Banten Lama,"(-6.034228, 106.128827)",Trans Studio,"(-6.926855, 107.634515)",193.71390775862088,232,7,40.85076739363904,tidak,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Gunung Galunggung,"(-7.241253, 108.082577)",259.53135346391616,299,7,36.92779749153938,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Simpang Lima Gumul,"(-7.815934, 112.011961)",102.07445281261876,133,10,34.559503856984065,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",87.0930323307779,95,7,32.218774800780345,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Gunung Galunggung,"(-7.241253, 108.082577)",69.56045474964569,90,13,34.09696811054318,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Situ Gede,"(-7.323856, 108.22867)",478.7201817828583,478,14,47.18985311460457,tidak,ya,tidak
Taman Sari,"(-7.811356, 110.359499)",Taman Sari,"(-7.811356, 110.359499)",0.0,0,12,40.00098325370431,tidak,tidak,tidak
Farm House,"(-6.832553, 107.605373)",Keraton Kasepuhan,"(-6.724108, 108.555726)",105.62632957965106,147,11,41.30538990025425,tidak,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Pantai Kejawanan,"(-6.73358, 108.581212)",206.364229955079,217,10,45.296109717535536,tidak,ya,tidak
